Matrice des cas pour le 2021-03-01
                             Anderlecht  Auderghem  Berchem-Sainte-Agathe  Bruxelles  Etterbeek  Evere  Forest (Bruxelles-Capitale)  Ganshoren  Ixelles  Jette  Koekelberg  Molenbeek-Saint-Jean  Saint-Gilles  Saint-Josse-ten-Noode  Schaerbeek  Uccle  Watermael-Boitsfort  Woluwe-Saint-Lambert  Woluwe-Saint-Pierre
Evere                               0.0        0.0                    0.0        0.0        0.0   12.0                          0.0        0.0      0.0    0.0         0.0                   0.0           0.0                    0.0         0.0    0.0                  0.0                   0.0                  0.0
Forest (Bruxelles-Capitale)         0.0        0.0                    0.0        0.0        0.0    0.0                         17.0        0.0      0.0    0.0         0.0                   0.0           0.0                    0.0         0.0    0.0                  0.0                   0.0                  0.0
Ganshoren                           0.0        0.0                    0.0        0.0        0.0    0.0                          0.0        8.0      0.0    0.0         0.0                   0.0           0.0                    0.0         0.0    0.0                  0.0                   0.0                  0.0
Ixelles                             0.0        0.0                    0.0        0.0        0.0    0.0                          0.0        0.0     19.0    0.0         0.0                   0.0           0.0                    0.0         0.0    0.0                  0.0                   0.0                  0.0
Jette                               0.0        0.0                    0.0        0.0        0.0    0.0                          0.0        0.0      0.0   19.0         0.0                   0.0           0.0                    0.0         0.0    0.0                  0.0                   0.0                  0.0
Koekelberg                          0.0        0.0                    0.0        0.0        0.0    0.0                          0.0        0.0      0.0    0.0         2.0                   0.0           0.0                    0.0         0.0    0.0                  0.0                   0.0                  0.0
Molenbeek-Saint-Jean                0.0        0.0                    0.0        0.0        0.0    0.0                          0.0        0.0      0.0    0.0         0.0                  30.0           0.0                    0.0         0.0    0.0                  0.0                   0.0                  0.0
Saint-Gilles                        0.0        0.0                    0.0        0.0        0.0    0.0                          0.0        0.0      0.0    0.0         0.0                   0.0          17.0                    0.0         0.0    0.0                  0.0                   0.0                  0.0
Saint-Josse-ten-Noode               0.0        0.0                    0.0        0.0        0.0    0.0                          0.0        0.0      0.0    0.0         0.0                   0.0           0.0                   10.0         0.0    0.0                  0.0                   0.0                  0.0
Schaerbeek                          0.0        0.0                    0.0        0.0        0.0    0.0                          0.0        0.0      0.0    0.0         0.0                   0.0           0.0                    0.0        49.0    0.0                  0.0                   0.0                  0.0
Uccle                               0.0        0.0                    0.0        0.0        0.0    0.0                          0.0        0.0      0.0    0.0         0.0                   0.0           0.0                    0.0         0.0   24.0                  0.0                   0.0                  0.0
Watermael-Boitsfort                 0.0        0.0                    0.0        0.0        0.0    0.0                          0.0        0.0      0.0    0.0         0.0                   0.0           0.0                    0.0         0.0    0.0                  2.0                   0.0                  0.0
Woluwe-Saint-Lambert                0.0        0.0                    0.0        0.0        0.0    0.0                          0.0        0.0      0.0    0.0         0.0                   0.0           0.0                    0.0         0.0    0.0                  0.0                   9.0                  0.0
Woluwe-Saint-Pierre                 0.0        0.0                    0.0        0.0        0.0    0.0                          0.0        0.0      0.0    0.0         0.0                   0.0           0.0                    0.0         0.0    0.0                  0.0                   0.0                  6.0

Matrice des cas pour le 2021-03-05
                             Anderlecht  Auderghem  Berchem-Sainte-Agathe  Bruxelles  Etterbeek  Evere  Forest (Bruxelles-Capitale)  Ganshoren  Ixelles  Jette  Koekelberg  Molenbeek-Saint-Jean  Saint-Gilles  Saint-Josse-ten-Noode  Schaerbeek  Uccle  Watermael-Boitsfort  Woluwe-Saint-Lambert  Woluwe-Saint-Pierre
Anderlecht                         45.0        0.0                    0.0        0.0        0.0    0.0                          0.0        0.0      0.0    0.0         0.0                   0.0           0.0                    0.0         0.0    0.0                  0.0                   0.0                  0.0
Auderghem                           0.0        7.0                    0.0        0.0        0.0    0.0                          0.0        0.0      0.0    0.0         0.0                   0.0           0.0                    0.0         0.0    0.0                  0.0                   0.0                  0.0
Berchem-Sainte-Agathe               0.0        0.0                    2.0        0.0        0.0    0.0                          0.0        0.0      0.0    0.0         0.0                   0.0           0.0                    0.0         0.0    0.0                  0.0                   0.0                  0.0
Bruxelles                           0.0        0.0                    0.0       62.0        0.0    0.0                          0.0        0.0      0.0    0.0         0.0                   0.0           0.0                    0.0         0.0    0.0                  0.0                   0.0                  0.0
