Matrice de transition pour le 2021-03-01
                             Anderlecht  Auderghem  Berchem-Sainte-Agathe  Bruxelles  Etterbeek  Evere  Forest (Bruxelles-Capitale)  Ganshoren  Ixelles  Jette  Koekelberg  Molenbeek-Saint-Jean  Saint-Gilles  Saint-Josse-ten-Noode  Schaerbeek  Uccle  Watermael-Boitsfort  Woluwe-Saint-Lambert  Woluwe-Saint-Pierre
Koekelberg                     0.000000        0.0                    0.0   0.000000    0.00000  0.000000                     0.000000        0.0     0.00  0.000000    0.166667              0.000000      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Molenbeek-Saint-Jean           0.000000        0.0                    0.0   0.000000    0.00000  0.000000                     0.000000        0.0     0.00  0.000000    0.000000              0.594595      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Saint-Gilles                   0.000000        0.0                    0.0   0.000000    0.00000  0.000000                     0.000000        0.0     0.00  0.000000    0.000000              0.000000      1.318182                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Saint-Josse-ten-Noode          0.000000        0.0                    0.0   0.000000    0.00000  0.000000                     0.000000        0.0     0.00  0.000000    0.000000              0.000000      0.000000                    0.4    0.000000  0.000000                  0.0              0.000000             0.000000
Schaerbeek                     0.000000        0.0                    0.0   0.000000    0.00000  0.000000                     0.000000        0.0     0.00  0.000000    0.000000              0.000000      0.000000                    0.0    0.728571  0.000000                  0.0              0.000000             0.000000
Uccle                          0.000000        0.0                    0.0   0.000000    0.00000  0.000000                     0.000000        0.0     0.00  0.000000    0.000000              0.000000      0.000000                    0.0    0.000000  0.958333                  0.0              0.000000             0.000000
Watermael-Boitsfort            0.000000        0.0                    0.0   0.000000    0.00000  0.000000                     0.000000        0.0     0.00  0.000000    0.000000              0.000000      0.000000                    0.0    0.000000  0.000000                  3.0              0.000000             0.000000
Woluwe-Saint-Lambert           0.000000        0.0                    0.0   0.000000    0.00000  0.000000                     0.000000        0.0     0.00  0.000000    0.000000              0.000000      0.000000                    0.0    0.000000  0.000000                  0.0              0.538462             0.000000
Woluwe-Saint-Pierre            0.000000        0.0                    0.0   0.000000    0.00000  0.000000                     0.000000        0.0     0.00  0.000000    0.000000              0.000000      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.928571

Matrice de transition pour le 2021-03-03
                             Anderlecht  Auderghem  Berchem-Sainte-Agathe  Bruxelles  Etterbeek  Evere  Forest (Bruxelles-Capitale)  Ganshoren   Ixelles     Jette  Koekelberg  Molenbeek-Saint-Jean  Saint-Gilles  Saint-Josse-ten-Noode  Schaerbeek     Uccle  Watermael-Boitsfort  Woluwe-Saint-Lambert  Woluwe-Saint-Pierre
Anderlecht                     1.424242      0.000               0.000000   0.000000   0.000000  0.000                        0.000        0.0  0.000000  0.000000         0.0              0.000000      0.000000                    0.0    0.000000  0.000000             0.000000              0.000000                  0.0
Auderghem                      0.000000      0.625               0.000000   0.000000   0.000000  0.000                        0.000        0.0  0.000000  0.000000         0.0              0.000000      0.000000                    0.0    0.000000  0.000000             0.000000              0.000000                  0.0
Berchem-Sainte-Agathe          0.000000      0.000               1.666667   0.000000   0.000000  0.000                        0.000        0.0  0.000000  0.000000         0.0              0.000000      0.000000                    0.0    0.000000  0.000000             0.000000              0.000000                  0.0
Bruxelles                      0.000000      0.000               0.000000   1.145161   0.000000  0.000                        0.000        0.0  0.000000  0.000000         0.0              0.000000      0.000000                    0.0    0.000000  0.000000             0.000000              0.000000                  0.0
Etterbeek                      0.000000      0.000               0.000000   0.000000   0.631579  0.000                        0.000        0.0  0.000000  0.000000         0.0              0.000000      0.000000                    0.0    0.000000  0.000000             0.000000              0.000000                  0.0
Evere                          0.000000      0.000               0.000000   0.000000   0.000000  1.375                        0.000        0.0  0.000000  0.000000         0.0              0.000000      0.000000                    0.0    0.000000  0.000000             0.000000              0.000000                  0.0
