DATE,TX_DESCR_FR,CASES_PER_10K,CASES_PER_10K_MA
2020-03-06,Uccle,0.23756354824915665,0.13
2020-03-06,Watermael-Boitsfort,0.0,0.13
2020-03-06,Woluwe-Saint-Lambert,0.0,0.13
2020-03-06,Woluwe-Saint-Pierre,0.0,0.13
2020-03-07,Anderlecht,0.0,0.13
2020-03-07,Auderghem,0.0,0.13
2020-03-07,Berchem-Sainte-Agathe,0.0,0.13
2020-03-07,Bruxelles,0.10707555250985096,0.13
2020-03-07,Etterbeek,0.0,0.13
2020-03-07,Evere,0.0,0.13
2020-03-07,Forest (Bruxelles-Capitale),0.0,0.13
2020-03-07,Ganshoren,0.0,0.13
2020-03-07,Ixelles,0.22852702903435904,0.13
2020-03-07,Jette,0.0,0.13
2020-03-07,Koekelberg,0.0,0.13
2020-03-07,Molenbeek-Saint-Jean,0.0,0.13
2020-03-07,Saint-Gilles,0.0,0.13
2020-03-07,Saint-Josse-ten-Noode,0.0,0.13
2020-03-07,Schaerbeek,0.0,0.13
2020-03-07,Uccle,0.23756354824915665,0.13
2020-03-07,Watermael-Boitsfort,0.0,0.13
2020-03-07,Woluwe-Saint-Lambert,0.34458993797381116,0.13
2020-03-07,Woluwe-Saint-Pierre,0.4757600266425615,0.13
2020-03-08,Anderlecht,0.0,0.13
2020-03-08,Auderghem,0.0,0.13
2020-03-08,Berchem-Sainte-Agathe,0.0,0.13
2020-03-08,Bruxelles,0.10707555250985096,0.13
2020-03-08,Etterbeek,0.0,0.13
2020-03-08,Evere,0.0,0.13
2020-03-08,Forest (Bruxelles-Capitale),0.0,0.13
2020-03-08,Ganshoren,0.0,0.13
2020-03-08,Ixelles,0.22852702903435904,0.13
2020-03-08,Jette,0.0,0.13
2020-03-08,Koekelberg,0.0,0.13
2020-03-08,Molenbeek-Saint-Jean,0.0,0.13
2020-03-08,Saint-Gilles,0.0,0.13
2020-03-08,Saint-Josse-ten-Noode,0.0,0.13
2020-03-08,Schaerbeek,0.0,0.13
2020-03-08,Uccle,0.23756354824915665,0.13
2020-03-08,Watermael-Boitsfort,0.0,0.13
2020-03-08,Woluwe-Saint-Lambert,0.0,0.13
2020-03-08,Woluwe-Saint-Pierre,0.4757600266425615,0.13
2020-03-09,Anderlecht,0.16430748502748044,0.13
2020-03-09,Auderghem,0.0,0.13
2020-03-09,Berchem-Sainte-Agathe,0.0,0.13
2020-03-09,Bruxelles,0.10707555250985096,0.13
2020-03-09,Etterbeek,0.0,0.13
2020-03-09,Evere,0.0,0.13
2020-03-09,Forest (Bruxelles-Capitale),0.0,0.13
2020-03-09,Ganshoren,0.0,0.13
2020-03-09,Ixelles,0.22852702903435904,0.13
2020-03-09,Jette,0.0,0.13
2020-03-09,Koekelberg,0.0,0.13
2020-03-09,Molenbeek-Saint-Jean,0.0,0.13
2020-03-09,Saint-Gilles,0.0,0.13
2020-03-09,Saint-Josse-ten-Noode,0.0,0.13
2020-03-09,Schaerbeek,0.0,0.13
2020-03-09,Uccle,0.23756354824915665,0.13
2020-03-09,Watermael-Boitsfort,0.0,0.13
2020-03-09,Woluwe-Saint-Lambert,0.0,0.13
2020-03-09,Woluwe-Saint-Pierre,0.4757600266425615,0.13
2020-03-10,Anderlecht,0.16430748502748044,0.13
2020-03-10,Auderghem,0.0,0.13
2020-03-10,Berchem-Sainte-Agathe,0.0,0.13
2020-03-10,Bruxelles,0.10707555250985096,0.13
2020-03-10,Etterbeek,0.410913872452334,0.13
2020-03-10,Evere,0.0,0.13
2020-03-10,Forest (Bruxelles-Capitale),0.0,0.13
2020-03-10,Ganshoren,0.0,0.13
2020-03-10,Ixelles,0.22852702903435904,0.13
2020-03-10,Jette,0.0,0.13
2020-03-10,Koekelberg,0.0,0.13
2020-03-10,Molenbeek-Saint-Jean,0.20484037813533804,0.13
2020-03-10,Saint-Gilles,0.40272240344730376,0.13
2020-03-10,Saint-Josse-ten-Noode,0.0,0.13
2020-03-10,Schaerbeek,0.15163921996785248,0.13
2020-03-10,Uccle,0.23756354824915665,0.13
2020-03-10,Watermael-Boitsfort,0.793587810491231,0.13
2020-03-10,Woluwe-Saint-Lambert,0.0,0.13
2020-03-10,Woluwe-Saint-Pierre,0.4757600266425615,0.13
2020-03-11,Anderlecht,0.16430748502748044,0.13
2020-03-11,Auderghem,0.0,0.25
2020-03-11,Berchem-Sainte-Agathe,0.0,0.39
2020-03-11,Bruxelles,0.10707555250985096,0.16
2020-03-11,Etterbeek,0.410913872452334,0.23
2020-03-11,Evere,0.0,0.2
2020-03-11,Forest (Bruxelles-Capitale),0.0,0.17
2020-03-11,Ganshoren,0.0,0.19
2020-03-11,Ixelles,0.22852702903435904,0.21
2020-03-11,Jette,0.0,0.16
2020-03-11,Koekelberg,0.0,0.17
2020-03-11,Molenbeek-Saint-Jean,0.20484037813533804,0.2
2020-03-11,Saint-Gilles,0.40272240344730376,0.23
2020-03-11,Saint-Josse-ten-Noode,0.0,0.21
2020-03-11,Schaerbeek,0.15163921996785248,0.16
2020-03-11,Uccle,0.23756354824915665,0.22
2020-03-11,Watermael-Boitsfort,0.0,0.45
2020-03-11,Woluwe-Saint-Lambert,0.0,0.23
2020-03-11,Woluwe-Saint-Pierre,0.4757600266425615,0.34
2020-03-12,Anderlecht,0.16430748502748044,0.16
2020-03-12,Auderghem,0.0,0.28
2020-03-12,Berchem-Sainte-Agathe,0.0,0.43
2020-03-12,Bruxelles,0.10707555250985096,0.17
2020-03-12,Etterbeek,0.410913872452334,0.23
2020-03-12,Evere,0.0,0.22
2020-03-12,Forest (Bruxelles-Capitale),0.3517040059086273,0.18
2020-03-12,Ganshoren,0.0,0.23
2020-03-12,Ixelles,0.22852702903435904,0.22
2020-03-12,Jette,0.0,0.18
2020-03-12,Koekelberg,0.0,0.21
2020-03-12,Molenbeek-Saint-Jean,0.20484037813533804,0.25
2020-03-12,Saint-Gilles,0.40272240344730376,0.25
2020-03-12,Saint-Josse-ten-Noode,0.0,0.21
2020-03-12,Schaerbeek,0.15163921996785248,0.19
2020-03-12,Uccle,0.23756354824915665,0.25
2020-03-12,Watermael-Boitsfort,0.793587810491231,0.49
2020-03-12,Woluwe-Saint-Lambert,0.34458993797381116,0.25
2020-03-12,Woluwe-Saint-Pierre,0.4757600266425615,0.36
2020-03-13,Anderlecht,0.16430748502748044,0.18
2020-03-13,Auderghem,0.5789885070781345,0.3
2020-03-13,Berchem-Sainte-Agathe,0.8294281093186248,0.43
2020-03-13,Bruxelles,0.10707555250985096,0.23
2020-03-13,Etterbeek,0.410913872452334,0.29
2020-03-13,Evere,0.46846087180568247,0.25
2020-03-13,Forest (Bruxelles-Capitale),0.3517040059086273,0.2
2020-03-13,Ganshoren,0.0,0.26
2020-03-13,Ixelles,0.22852702903435904,0.26
2020-03-13,Jette,0.3777005589968273,0.2
2020-03-13,Koekelberg,0.0,0.26
2020-03-13,Molenbeek-Saint-Jean,0.20484037813533804,0.3
2020-03-13,Saint-Gilles,0.40272240344730376,0.27
2020-03-13,Saint-Josse-ten-Noode,0.0,0.25
2020-03-13,Schaerbeek,0.15163921996785248,0.21
2020-03-13,Uccle,0.23756354824915665,0.28
2020-03-13,Watermael-Boitsfort,0.793587810491231,0.53
2020-03-13,Woluwe-Saint-Lambert,0.34458993797381116,0.25
2020-03-13,Woluwe-Saint-Pierre,0.4757600266425615,0.36
2020-03-14,Anderlecht,0.16430748502748044,0.22
2020-03-14,Auderghem,0.5789885070781345,0.37
2020-03-14,Berchem-Sainte-Agathe,0.8294281093186248,0.47
2020-03-14,Bruxelles,0.10707555250985096,0.29
2020-03-14,Etterbeek,0.410913872452334,0.31
2020-03-14,Evere,0.46846087180568247,0.27
2020-03-14,Forest (Bruxelles-Capitale),0.3517040059086273,0.22
2020-03-14,Ganshoren,0.0,0.3
2020-03-14,Ixelles,0.22852702903435904,0.33
2020-03-14,Jette,0.3777005589968273,0.22
2020-03-14,Koekelberg,0.0,0.3
2020-03-14,Molenbeek-Saint-Jean,0.20484037813533804,0.39
2020-03-14,Saint-Gilles,0.40272240344730376,0.29
2020-03-14,Saint-Josse-ten-Noode,0.0,0.28
2020-03-14,Schaerbeek,0.15163921996785248,0.25
2020-03-14,Uccle,0.23756354824915665,0.32
2020-03-14,Watermael-Boitsfort,0.793587810491231,0.53
2020-03-14,Woluwe-Saint-Lambert,0.34458993797381116,0.31
2020-03-14,Woluwe-Saint-Pierre,0.4757600266425615,0.39
2020-03-15,Anderlecht,0.16430748502748044,0.27
2020-03-15,Auderghem,0.5789885070781345,0.4
2020-03-15,Berchem-Sainte-Agathe,0.8294281093186248,0.51
2020-03-15,Bruxelles,0.10707555250985096,0.32
2020-03-15,Etterbeek,0.410913872452334,0.36
2020-03-15,Evere,0.46846087180568247,0.29
2020-03-15,Forest (Bruxelles-Capitale),0.3517040059086273,0.29
2020-03-15,Ganshoren,0.0,0.34
2020-03-15,Ixelles,0.22852702903435904,0.36
2020-03-15,Jette,0.3777005589968273,0.23
2020-03-15,Koekelberg,0.0,0.34
2020-03-15,Molenbeek-Saint-Jean,0.20484037813533804,0.47
2020-03-15,Saint-Gilles,0.40272240344730376,0.35
2020-03-15,Saint-Josse-ten-Noode,0.7393715341959335,0.32
2020-03-15,Schaerbeek,0.15163921996785248,0.3
2020-03-15,Uccle,0.23756354824915665,0.38
2020-03-15,Watermael-Boitsfort,0.793587810491231,0.57
2020-03-15,Woluwe-Saint-Lambert,0.34458993797381116,0.35
2020-03-15,Woluwe-Saint-Pierre,0.4757600266425615,0.41
2020-03-16,Anderlecht,0.16430748502748044,0.37
2020-03-16,Auderghem,0.5789885070781345,0.43
2020-03-16,Berchem-Sainte-Agathe,0.8294281093186248,0.55
2020-03-16,Bruxelles,0.3212266575295528,0.35
2020-03-16,Etterbeek,0.410913872452334,0.44
2020-03-16,Evere,0.46846087180568247,0.39
2020-03-16,Forest (Bruxelles-Capitale),0.3517040059086273,0.39
2020-03-16,Ganshoren,0.0,0.38
2020-03-16,Ixelles,0.22852702903435904,0.41
2020-03-16,Jette,0.3777005589968273,0.25
2020-03-16,Koekelberg,0.0,0.39
2020-03-16,Molenbeek-Saint-Jean,0.512100945338345,0.53
2020-03-16,Saint-Gilles,0.40272240344730376,0.45
2020-03-16,Saint-Josse-ten-Noode,0.7393715341959335,0.35
2020-03-16,Schaerbeek,0.4549176599035575,0.37
2020-03-16,Uccle,0.23756354824915665,0.42
2020-03-16,Watermael-Boitsfort,0.793587810491231,0.6
2020-03-16,Woluwe-Saint-Lambert,0.34458993797381116,0.35
2020-03-16,Woluwe-Saint-Pierre,0.4757600266425615,0.43
2020-03-17,Anderlecht,0.16430748502748044,0.49
2020-03-17,Auderghem,0.5789885070781345,0.5
2020-03-17,Berchem-Sainte-Agathe,0.8294281093186248,0.59
2020-03-17,Bruxelles,0.3212266575295528,0.38
2020-03-17,Etterbeek,0.410913872452334,0.55
2020-03-17,Evere,0.46846087180568247,0.41
2020-03-17,Forest (Bruxelles-Capitale),0.3517040059086273,0.43
2020-03-17,Ganshoren,0.7934618741569468,0.42
2020-03-17,Ixelles,0.22852702903435904,0.45
2020-03-17,Jette,0.3777005589968273,0.27
2020-03-17,Koekelberg,0.9022013713460844,0.43
2020-03-17,Molenbeek-Saint-Jean,0.20484037813533804,0.6
2020-03-17,Saint-Gilles,0.40272240344730376,0.57
2020-03-17,Saint-Josse-ten-Noode,0.0,0.39
2020-03-17,Schaerbeek,0.15163921996785248,0.44
2020-03-17,Uccle,0.23756354824915665,0.45
2020-03-17,Watermael-Boitsfort,0.793587810491231,0.64
2020-03-17,Woluwe-Saint-Lambert,0.34458993797381116,0.46
2020-03-17,Woluwe-Saint-Pierre,0.4757600266425615,0.45
2020-03-18,Anderlecht,0.16430748502748044,0.56
2020-03-18,Auderghem,0.5789885070781345,0.58
2020-03-18,Berchem-Sainte-Agathe,0.8294281093186248,0.63
2020-03-18,Bruxelles,0.4818399862943293,0.43
2020-03-18,Etterbeek,0.410913872452334,0.6
2020-03-18,Evere,0.46846087180568247,0.51
2020-03-18,Forest (Bruxelles-Capitale),0.3517040059086273,0.48
2020-03-18,Ganshoren,0.7934618741569468,0.45
2020-03-18,Ixelles,0.22852702903435904,0.46
2020-03-18,Jette,0.3777005589968273,0.29
2020-03-18,Koekelberg,0.0,0.47
2020-03-18,Molenbeek-Saint-Jean,0.7169413234736831,0.67
2020-03-18,Saint-Gilles,0.40272240344730376,0.66
2020-03-18,Saint-Josse-ten-Noode,0.0,0.42
2020-03-18,Schaerbeek,0.3790980499196312,0.5
2020-03-18,Uccle,0.23756354824915665,0.46
2020-03-18,Watermael-Boitsfort,0.793587810491231,0.68
2020-03-18,Woluwe-Saint-Lambert,0.34458993797381116,0.46
2020-03-18,Woluwe-Saint-Pierre,0.4757600266425615,0.45
2020-03-19,Anderlecht,0.16430748502748044,0.59
2020-03-19,Auderghem,0.5789885070781345,0.58
2020-03-19,Berchem-Sainte-Agathe,0.8294281093186248,0.67
2020-03-19,Bruxelles,0.3747644337844783,0.45
2020-03-19,Etterbeek,0.410913872452334,0.69
2020-03-19,Evere,0.46846087180568247,0.6
2020-03-19,Forest (Bruxelles-Capitale),0.3517040059086273,0.54
2020-03-19,Ganshoren,0.7934618741569468,0.49
2020-03-19,Ixelles,0.22852702903435904,0.48
2020-03-19,Jette,0.3777005589968273,0.33
2020-03-19,Koekelberg,0.9022013713460844,0.52
2020-03-19,Molenbeek-Saint-Jean,0.9217817016090212,0.7
2020-03-19,Saint-Gilles,0.40272240344730376,0.68
2020-03-19,Saint-Josse-ten-Noode,0.7393715341959335,0.46
2020-03-19,Schaerbeek,0.3790980499196312,0.53
2020-03-19,Uccle,0.23756354824915665,0.48
2020-03-19,Watermael-Boitsfort,0.793587810491231,0.72
2020-03-19,Woluwe-Saint-Lambert,0.34458993797381116,0.48
2020-03-19,Woluwe-Saint-Pierre,0.0,0.45
2020-03-20,Anderlecht,0.6572299401099218,0.67
2020-03-20,Auderghem,0.5789885070781345,0.65
2020-03-20,Berchem-Sainte-Agathe,0.8294281093186248,0.71
2020-03-20,Bruxelles,0.10707555250985096,0.49
2020-03-20,Etterbeek,0.410913872452334,0.71
2020-03-20,Evere,0.46846087180568247,0.67
2020-03-20,Forest (Bruxelles-Capitale),0.3517040059086273,0.59
2020-03-20,Ganshoren,0.7934618741569468,0.53
2020-03-20,Ixelles,0.6855810871030771,0.53
2020-03-20,Jette,0.3777005589968273,0.43
2020-03-20,Koekelberg,0.9022013713460844,0.56
2020-03-20,Molenbeek-Saint-Jean,0.512100945338345,0.8
2020-03-20,Saint-Gilles,0.40272240344730376,0.75
2020-03-20,Saint-Josse-ten-Noode,0.7393715341959335,0.49
2020-03-20,Schaerbeek,0.8340157098231886,0.56
2020-03-20,Uccle,0.23756354824915665,0.5
2020-03-20,Watermael-Boitsfort,0.793587810491231,0.76
2020-03-20,Woluwe-Saint-Lambert,0.34458993797381116,0.49
2020-03-20,Woluwe-Saint-Pierre,0.4757600266425615,0.45
2020-03-21,Anderlecht,0.16430748502748044,0.79
2020-03-21,Auderghem,0.5789885070781345,0.68
2020-03-21,Berchem-Sainte-Agathe,0.8294281093186248,0.75
2020-03-21,Bruxelles,0.4818399862943293,0.56
2020-03-21,Etterbeek,0.410913872452334,0.71
2020-03-21,Evere,0.46846087180568247,0.69
2020-03-21,Forest (Bruxelles-Capitale),0.3517040059086273,0.68
2020-03-21,Ganshoren,0.7934618741569468,0.57
2020-03-21,Ixelles,0.22852702903435904,0.56
2020-03-21,Jette,0.3777005589968273,0.48
2020-03-21,Koekelberg,0.9022013713460844,0.6
2020-03-21,Molenbeek-Saint-Jean,0.20484037813533804,0.88
2020-03-21,Saint-Gilles,0.40272240344730376,0.83
2020-03-21,Saint-Josse-ten-Noode,0.7393715341959335,0.53
2020-03-21,Schaerbeek,0.15163921996785248,0.6
2020-03-21,Uccle,0.5939088706228917,0.56
2020-03-21,Watermael-Boitsfort,0.793587810491231,0.76
2020-03-21,Woluwe-Saint-Lambert,0.34458993797381116,0.51
2020-03-21,Woluwe-Saint-Pierre,0.4757600266425615,0.45
2020-03-22,Anderlecht,0.49292245508244126,0.88
2020-03-22,Auderghem,0.5789885070781345,0.68
2020-03-22,Berchem-Sainte-Agathe,0.8294281093186248,0.79
2020-03-22,Bruxelles,0.3747644337844783,0.6
2020-03-22,Etterbeek,0.0,0.71
2020-03-22,Evere,0.46846087180568247,0.75
2020-03-22,Forest (Bruxelles-Capitale),0.3517040059086273,0.74
2020-03-22,Ganshoren,0.7934618741569468,0.6
2020-03-22,Ixelles,0.5713175725858975,0.65
2020-03-22,Jette,0.3777005589968273,0.55
2020-03-22,Koekelberg,0.9022013713460844,0.64
2020-03-22,Molenbeek-Saint-Jean,1.02420189067669,0.91
2020-03-22,Saint-Gilles,0.40272240344730376,0.83
2020-03-22,Saint-Josse-ten-Noode,0.7393715341959335,0.56
2020-03-22,Schaerbeek,0.6823764898553362,0.65
2020-03-22,Uccle,0.5939088706228917,0.56
2020-03-22,Watermael-Boitsfort,0.793587810491231,0.79
2020-03-22,Woluwe-Saint-Lambert,0.34458993797381116,0.53
2020-03-22,Woluwe-Saint-Pierre,0.4757600266425615,0.45
2020-03-23,Anderlecht,0.5750761975961814,0.95
2020-03-23,Auderghem,0.5789885070781345,0.79
2020-03-23,Berchem-Sainte-Agathe,0.8294281093186248,0.83
2020-03-23,Bruxelles,1.231368853863286,0.67
2020-03-23,Etterbeek,1.232741617357002,0.71
2020-03-23,Evere,0.46846087180568247,0.81
2020-03-23,Forest (Bruxelles-Capitale),0.3517040059086273,0.8
2020-03-23,Ganshoren,0.7934618741569468,0.64
2020-03-23,Ixelles,0.7998446016202567,0.68
2020-03-23,Jette,0.3777005589968273,0.67
